-1604.7062|138
-1774.7902|105
-6469.1074|362
-5033.8833|253
-1089.257|102
-3783.7773|352
-1054.3798|76
-1538.1792|102
-7616.7695|620
-9668.866|895
-69164.18|6611
-880.42145|80
-8287.0|584
-2791.808|169
-3217.525|304
-4223.2363|363
-717.89594|52
-6355.185|526
-1364.3909|73
-5041.0425|147
-45.536053|15
-1074.1912|158
-613.4929|41
-356.11148|62
-2038.3027|655
-186.00769|15
-188.23006|58
-180.94814|87
-187.06996|69
-1277.9905|48
-102.14086|22
-129.62842|57
-99.993164|34
-89.79539|12
-91.082184|11
-2295.4368|1331
-255.47623|35
-106.768745|26
-993.4362|36
-150.66504|37
-3.5680108|22
-1.1568185|4
-31.274647|7
-2.9102461|2
-70.676956|11
-5.8|19
-0.7202161|5
-3.0754104|5
-22.422619|73
-1.8336818|5
-1.6889186|3
-6.5400004|18
-1.293778|3
-5.2727504|4
-1476.3982|62
-1.1918185|1
-344.60126|125
-1.0536923|9
-4.607185|35
-1.8091049|5
-68.48877|16
-0.14472413|8
471.99707|695
-7.4709787|12
-202.3372|71
4128.084|5609
2855.742|3874
-0.81403524|24
-0.9000001|9
2.996453|53
-1.9583449|6
-4.057757|23
-3.5404708|14
43.04301|79
44.062157|79
-5.232387|11
630.6071|860
-5.3103466|7
63.917347|128
-0.60436267|7
-197.59138|20
-60.486786|23
-125.59785|14
-256.5534|35
-134.18596|18
-1073.2345|256
-271.0595|98
-97.21154|19
-149.06126|39
-157.4738|25
-3182.8267|1700
-128.29646|19
-2463.7932|1352
-35.478638|14
-30.465355|11
-146.92776|17
-89.15466|12
-297.3829|24
-82.95625|21
-85.430176|11
-67.91215|1
-2.0182507|1
-3.82598|2
-22.039644|4
-62.465694|364
-67.91215|1
-46.484905|2
-57.42549|55
-17.739523|3
-83.5792|20
-126.214096|16
-7.9970727|3
-114.29706|2
-4.043578|1
-0.31961504|2
-8.2495575|6
-70.61585|2
-1.3048024|2
-5.575802|3
-52.86229|197
0.0|0
-63.675053|4
-0.018499985|3
-2.5547693|1
0.0|0
0.0|0
-5.28022|18
-0.1|1
0.0|0
-25.60165|4
1.3280559|4
0.0|0
-0.1|1
-5.7459326|6
-0.21961503|1
-0.1|1
-0.1|1
-19.496147|6
-10.804693|7
-1.7449416|1
-0.1|1
4.083123|47
-0.1|1
0.54165673|13
1.1398901|23
0.0|0
-2.9146595|19
1.0224123|9
-0.1|1
0.0|0
-0.1|1
7.256202|19
0.0|0
-0.1|1
0.0|0
0.0|0
0.0|0
-0.1|1
116.68943|293
5.9428587|16
-180.67628|11
